model,scene,genome_mode,n_opt,baseline_fail,fail_rate,asr_bbox,asr_bbox_empty,asr_bbox_empty_malformed,asr_bbox_value,asr_bbox_empty_value,asr_bbox_empty_malformed_value,ssim,ned,swtd
deepseek,Driving,multi,3,0.946 (53/56),0.9464285714285714,1.000 (3/3),1.000 (3/3),1.000 (3/3),1.0,1.0,1.0,$0.948 \pm 0.050$,$0.000 \pm 0.000$,$0.974 \pm 0.025$
deepseek,Driving,image,4,0.929 (52/56),0.9285714285714286,1.000 (4/4),1.000 (4/4),1.000 (4/4),1.0,1.0,1.0,$0.933 \pm 0.051$,---,$0.933 \pm 0.051$
deepseek,Driving,text,4,0.929 (52/56),0.9285714285714286,0.250 (1/4),0.250 (1/4),1.000 (4/4),0.25,0.25,1.0,---,$0.170 \pm 0.097$,$0.895 \pm 0.000$
gemma,Driving,multi,3,0.946 (53/56),0.9464285714285714,1.000 (3/3),1.000 (3/3),1.000 (3/3),1.0,1.0,1.0,$0.916 \pm 0.055$,$0.000 \pm 0.000$,$0.895 \pm 0.051$
gemma,Driving,image,3,0.946 (53/56),0.9464285714285714,1.000 (3/3),1.000 (3/3),1.000 (3/3),1.0,1.0,1.0,$0.920 \pm 0.050$,---,$0.843 \pm 0.087$
gemma,Driving,text,3,0.946 (53/56),0.9464285714285714,1.000 (3/3),1.000 (3/3),1.000 (3/3),1.0,1.0,1.0,---,$0.173 \pm 0.151$,$0.435 \pm 0.240$
intern,MC,multi,52,0.480 (48/100),0.48,0.731 (38/52),0.731 (38/52),0.846 (44/52),0.7307692307692307,0.7307692307692307,0.8461538461538461,$0.894 \pm 0.059$,$0.052 \pm 0.109$,$0.708 \pm 0.147$
intern,MC,image,52,0.480 (48/100),0.48,0.654 (34/52),0.654 (34/52),0.769 (40/52),0.6538461538461539,0.6538461538461539,0.7692307692307693,$0.915 \pm 0.052$,---,$0.666 \pm 0.157$
intern,MC,text,52,0.480 (48/100),0.48,0.712 (37/52),0.712 (37/52),0.808 (42/52),0.7115384615384616,0.7115384615384616,0.8076923076923077,---,$0.251 \pm 0.145$,$0.552 \pm 0.144$
intern,SC-MI,multi,42,0.580 (58/100),0.58,0.905 (38/42),0.905 (38/42),0.952 (40/42),0.9047619047619048,0.9047619047619048,0.9523809523809523,$0.904 \pm 0.059$,$0.084 \pm 0.141$,$0.787 \pm 0.132$
intern,SC-MI,image,42,0.580 (58/100),0.58,0.833 (35/42),0.833 (35/42),0.857 (36/42),0.8333333333333334,0.8333333333333334,0.8571428571428571,$0.906 \pm 0.050$,---,$0.762 \pm 0.143$
intern,SC-MI,text,42,0.580 (58/100),0.58,0.929 (39/42),0.929 (39/42),0.929 (39/42),0.9285714285714286,0.9285714285714286,0.9285714285714286,---,$0.324 \pm 0.119$,$0.584 \pm 0.118$
intern,SC-SI,multi,32,0.680 (68/100),0.68,0.969 (31/32),0.969 (31/32),0.969 (31/32),0.96875,0.96875,0.96875,$0.907 \pm 0.065$,$0.138 \pm 0.163$,$0.753 \pm 0.123$
intern,SC-SI,image,32,0.680 (68/100),0.68,0.781 (25/32),0.781 (25/32),0.781 (25/32),0.78125,0.78125,0.78125,$0.901 \pm 0.060$,---,$0.724 \pm 0.166$
intern,SC-SI,text,32,0.680 (68/100),0.68,0.875 (28/32),0.875 (28/32),0.906 (29/32),0.875,0.875,0.90625,---,$0.249 \pm 0.137$,$0.642 \pm 0.185$
intern,Driving,multi,6,0.893 (50/56),0.8928571428571429,0.667 (4/6),0.667 (4/6),0.833 (5/6),0.6666666666666666,0.6666666666666666,0.8333333333333334,$0.928 \pm 0.045$,$0.056 \pm 0.137$,$0.683 \pm 0.211$
intern,Driving,image,6,0.893 (50/56),0.8928571428571429,0.833 (5/6),0.833 (5/6),1.000 (6/6),0.8333333333333334,0.8333333333333334,1.0,$0.946 \pm 0.033$,---,$0.728 \pm 0.184$
