,model,scene,genome_mode,img_budget,txt_budget,total_budget,total_evaluations,runtime
0,deepseek,MC,multi,$0.28 \pm 0.02$,$0.18 \pm 0.12$,$0.46 \pm 0.13$,$100.00 \pm 0.00$,$4.81 \pm 1.30$
1,deepseek,MC,image,$0.27 \pm 0.01$,$0.00 \pm 0.00$,$0.27 \pm 0.01$,$100.00 \pm 0.00$,$3.57 \pm 0.34$
2,deepseek,MC,text,$0.00 \pm 0.00$,$0.57 \pm 0.37$,$0.57 \pm 0.37$,$100.00 \pm 0.00$,$11.87 \pm 14.73$
3,deepseek,SC-MI,multi,$0.25 \pm 0.23$,$0.10 \pm 0.09$,$0.35 \pm 0.32$,$100.00 \pm 0.00$,$17.60 \pm 12.17$
4,deepseek,SC-MI,image,$0.11 \pm 0.05$,$0.00 \pm 0.00$,$0.11 \pm 0.05$,$100.00 \pm 0.00$,$3.70 \pm 0.27$
5,deepseek,SC-MI,text,$0.00 \pm 0.00$,$0.66 \pm 0.13$,$0.66 \pm 0.13$,$100.00 \pm 0.00$,$1.77 \pm 0.01$
6,deepseek,SC-SI,multi,---,---,---,---,---
7,deepseek,SC-SI,image,---,---,---,---,---
8,deepseek,SC-SI,text,---,---,---,---,---
9,deepseek,Driving,multi,$0.14 \pm 0.17$,$0.08 \pm 0.11$,$0.22 \pm 0.27$,$100.00 \pm 0.00$,$2.87 \pm 0.19$
10,deepseek,Driving,image,$0.36 \pm 0.30$,$0.00 \pm 0.00$,$0.36 \pm 0.30$,$125.00 \pm 50.00$,$3.86 \pm 1.56$
11,deepseek,Driving,text,$0.00 \pm 0.00$,$0.63 \pm 0.19$,$0.63 \pm 0.19$,$100.00 \pm 0.00$,$1.09 \pm 0.09$
12,intern,MC,multi,$0.30 \pm 0.18$,$0.20 \pm 0.13$,$0.50 \pm 0.28$,$125.00 \pm 90.48$,$29.01 \pm 23.54$
13,intern,MC,image,$0.30 \pm 0.17$,$0.00 \pm 0.00$,$0.30 \pm 0.17$,$434.62 \pm 1439.76$,$75.88 \pm 194.79$
14,intern,MC,text,$0.00 \pm 0.00$,$0.59 \pm 0.22$,$0.59 \pm 0.22$,$109.62 \pm 35.75$,$7.11 \pm 9.65$
15,intern,SC-MI,multi,$0.25 \pm 0.15$,$0.21 \pm 0.14$,$0.46 \pm 0.24$,$150.00 \pm 220.03$,$29.99 \pm 53.48$
16,intern,SC-MI,image,$0.27 \pm 0.12$,$0.00 \pm 0.00$,$0.27 \pm 0.12$,$497.62 \pm 1780.17$,$105.53 \pm 395.83$
17,intern,SC-MI,text,$0.00 \pm 0.00$,$0.67 \pm 0.18$,$0.67 \pm 0.18$,$116.67 \pm 76.24$,$6.29 \pm 8.69$
18,intern,SC-SI,multi,$0.23 \pm 0.13$,$0.23 \pm 0.16$,$0.46 \pm 0.26$,$168.75 \pm 149.06$,$26.64 \pm 28.49$
19,intern,SC-SI,image,$0.27 \pm 0.13$,$0.00 \pm 0.00$,$0.27 \pm 0.13$,$515.62 \pm 1771.84$,$92.26 \pm 345.47$
20,intern,SC-SI,text,$0.00 \pm 0.00$,$0.65 \pm 0.18$,$0.65 \pm 0.18$,$134.38 \pm 177.09$,$6.07 \pm 11.84$
21,intern,Driving,multi,$0.15 \pm 0.16$,$0.08 \pm 0.09$,$0.23 \pm 0.25$,$300.00 \pm 442.72$,$45.35 \pm 48.28$
22,intern,Driving,image,$0.13 \pm 0.05$,$0.00 \pm 0.00$,$0.13 \pm 0.05$,$666.67 \pm 1160.46$,$72.31 \pm 89.67$
23,intern,Driving,text,$0.00 \pm 0.00$,$0.62 \pm 0.13$,$0.62 \pm 0.13$,$116.67 \pm 40.82$,$11.44 \pm 19.20$
24,kimi,MC,multi,$0.20 \pm 0.15$,$0.18 \pm 0.13$,$0.37 \pm 0.22$,$108.00 \pm 27.69$,$7.45 \pm 3.09$
25,kimi,MC,image,$0.27 \pm 0.23$,$0.00 \pm 0.00$,$0.27 \pm 0.23$,$656.00 \pm 2045.34$,$50.55 \pm 168.67$
26,kimi,MC,text,$0.00 \pm 0.00$,$0.56 \pm 0.29$,$0.56 \pm 0.29$,$100.00 \pm 0.00$,$8.77 \pm 16.09$
27,kimi,SC-MI,multi,$0.13 \pm 0.10$,$0.18 \pm 0.13$,$0.31 \pm 0.19$,$161.54 \pm 170.97$,$8.57 \pm 7.55$
28,kimi,SC-MI,image,$0.23 \pm 0.18$,$0.00 \pm 0.00$,$0.23 \pm 0.18$,$153.85 \pm 145.00$,$6.19 \pm 5.01$
29,kimi,SC-MI,text,$0.00 \pm 0.00$,$0.63 \pm 0.29$,$0.63 \pm 0.29$,$407.69 \pm 1079.71$,$25.53 \pm 66.86$
30,kimi,SC-SI,multi,$0.07 \pm 0.07$,$0.09 \pm 0.08$,$0.16 \pm 0.12$,$650.00 \pm 1686.92$,$18.05 \pm 45.13$
31,kimi,SC-SI,image,$0.08 \pm 0.06$,$0.00 \pm 0.00$,$0.08 \pm 0.06$,$1273.08 \pm 2894.36$,$29.43 \pm 66.18$
32,kimi,SC-SI,text,$0.00 \pm 0.00$,$0.53 \pm 0.24$,$0.53 \pm 0.24$,$369.23 \pm 646.42$,$10.78 \pm 18.06$
33,kimi,Driving,multi,$0.11 \pm 0.06$,$0.08 \pm 0.05$,$0.19 \pm 0.09$,$110.00 \pm 44.72$,$36.42 \pm 29.46$
34,kimi,Driving,image,$0.16 \pm 0.08$,$0.00 \pm 0.00$,$0.16 \pm 0.08$,$115.00 \pm 48.94$,$31.09 \pm 29.73$
35,kimi,Driving,text,$0.00 \pm 0.00$,$0.65 \pm 0.24$,$0.65 \pm 0.24$,$105.00 \pm 22.36$,$16.83 \pm 25.26$
36,nemotron,MC,multi,$0.19 \pm 0.09$,$0.20 \pm 0.08$,$0.38 \pm 0.15$,$124.39 \pm 69.93$,$9.70 \pm 10.91$
37,nemotron,MC,image,$0.78 \pm 0.28$,$0.00 \pm 0.00$,$0.78 \pm 0.28$,$2707.32 \pm 4238.95$,$117.47 \pm 180.08$
38,nemotron,MC,text,$0.00 \pm 0.00$,$0.56 \pm 0.25$,$0.56 \pm 0.25$,$100.00 \pm 0.00$,$6.61 \pm 9.55$
39,nemotron,SC-MI,multi,$0.24 \pm 0.20$,$0.16 \pm 0.07$,$0.40 \pm 0.24$,$1375.00 \pm 2783.76$,$72.08 \pm 161.49$
40,nemotron,SC-MI,image,$0.81 \pm 0.24$,$0.00 \pm 0.00$,$0.81 \pm 0.24$,$4816.67 \pm 4986.31$,$216.36 \pm 259.48$
41,nemotron,SC-MI,text,$0.00 \pm 0.00$,$0.52 \pm 0.15$,$0.52 \pm 0.15$,$1133.33 \pm 2807.24$,$39.67 \pm 103.22$
42,nemotron,SC-SI,multi,$0.15 \pm 0.09$,$0.19 \pm 0.11$,$0.34 \pm 0.16$,$2101.04 \pm 3150.02$,$69.79 \pm 105.28$
43,nemotron,SC-SI,image,$0.86 \pm 0.18$,$0.00 \pm 0.00$,$0.86 \pm 0.18$,$5357.29 \pm 4674.54$,$168.33 \pm 147.19$
44,nemotron,SC-SI,text,$0.00 \pm 0.00$,$0.60 \pm 0.15$,$0.60 \pm 0.15$,$1076.04 \pm 1726.50$,$29.08 \pm 46.10$
45,nemotron,Driving,multi,$0.32 \pm 0.22$,$0.34 \pm 0.11$,$0.66 \pm 0.20$,$640.00 \pm 1574.26$,$26.97 \pm 68.22$
46,nemotron,Driving,image,$0.45 \pm 0.24$,$0.00 \pm 0.00$,$0.45 \pm 0.24$,$3760.00 \pm 4709.38$,$153.67 \pm 199.00$
47,nemotron,Driving,text,$0.00 \pm 0.00$,$0.71 \pm 0.22$,$0.71 \pm 0.22$,$773.33 \pm 1471.86$,$22.93 \pm 37.30$
48,qwen,MC,multi,$0.20 \pm 0.15$,$0.41 \pm 0.16$,$0.60 \pm 0.22$,$916.25 \pm 2159.84$,$33.93 \pm 62.95$
49,qwen,MC,image,$0.22 \pm 0.14$,$0.00 \pm 0.00$,$0.22 \pm 0.14$,$6006.25 \pm 4697.81$,$193.70 \pm 162.88$
50,qwen,MC,text,$0.00 \pm 0.00$,$0.44 \pm 0.15$,$0.44 \pm 0.15$,$1116.25 \pm 2387.44$,$30.00 \pm 49.84$
51,qwen,SC-MI,multi,$0.19 \pm 0.15$,$0.44 \pm 0.16$,$0.63 \pm 0.22$,$1624.47 \pm 2726.40$,$61.04 \pm 92.72$
52,qwen,SC-MI,image,$0.21 \pm 0.12$,$0.00 \pm 0.00$,$0.21 \pm 0.12$,$5992.55 \pm 4680.25$,$158.31 \pm 137.09$
53,qwen,SC-MI,text,$0.00 \pm 0.00$,$0.51 \pm 0.20$,$0.51 \pm 0.20$,$2747.87 \pm 3832.14$,$54.81 \pm 79.86$
54,qwen,SC-SI,multi,$0.14 \pm 0.14$,$0.53 \pm 0.18$,$0.67 \pm 0.20$,$2189.47 \pm 3192.53$,$63.23 \pm 92.97$
55,qwen,SC-SI,image,$0.25 \pm 0.11$,$0.00 \pm 0.00$,$0.25 \pm 0.11$,$8978.95 \pm 2839.83$,$168.04 \pm 55.89$
56,qwen,SC-SI,text,$0.00 \pm 0.00$,$0.61 \pm 0.23$,$0.61 \pm 0.23$,$2653.68 \pm 3666.14$,$34.37 \pm 48.12$
57,qwen,Driving,multi,$0.17 \pm 0.12$,$0.14 \pm 0.05$,$0.31 \pm 0.15$,$660.00 \pm 828.92$,$16.55 \pm 19.82$
58,qwen,Driving,image,$0.12 \pm 0.09$,$0.00 \pm 0.00$,$0.12 \pm 0.09$,$7040.00 \pm 4766.13$,$109.11 \pm 69.79$
59,qwen,Driving,text,$0.00 \pm 0.00$,$0.47 \pm 0.19$,$0.47 \pm 0.19$,$350.00 \pm 263.52$,$5.06 \pm 3.81$
