annotator_id,session_id,task_index,category,method,variant,filename,label,label_index,total_labels,response_type,reject_reason,bboxes,num_bboxes,image_width,image_height,timestamp,server_received_at
annotator_0001,session_0001,,single/solo,human_bbox_annotation,1,ILSVRC2012_val_00032560.JPEG,beaker,,1.0,bbox,,"[[88,199,194,486],[147,181,154,199]]",2,334.0,500.0,2026-08-28T08:45:41.004Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,1.0,single/solo,human_bbox_annotation,1,ILSVRC2012_val_00031771.JPEG,crooked ball,,1.0,reject,unclear_label,[],0,500.0,333.0,2026-08-28T08:46:34.119Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,2.0,single/solo,human_bbox_annotation,1,ILSVRC2012_val_00043730.JPEG,behr,,1.0,bbox,,"[[147,61,339,188]]",1,350.0,252.0,2026-08-28T08:46:42.590Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,3.0,single/multi,human_bbox_annotation,1,ILSVRC2012_val_00019305.JPEG,dog,,1.0,reject,unclear_label,[],0,500.0,375.0,2026-08-28T08:46:49.615Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,4.0,single/multi,human_bbox_annotation,1,ILSVRC2012_val_00045966.JPEG,sopa dis𝕡enser,,1.0,bbox,,"[[40,142,224,461],[275,20,465,473]]",2,499.0,500.0,2026-08-28T08:47:43.225Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,5.0,single/multi,human_bbox_annotation,1,ILSVRC2012_val_00035612.JPEG,mno key,,1.0,bbox,,"[[58,36,453,502]]",1,500.0,500.0,2026-08-28T08:47:47.974Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,6.0,multi,human_bbox_annotation,1,ILSVRC2012_val_00003176.JPEG,"bench, dog",,2.0,bbox,,"[[35,1,249,105],[176,42,405,330]]",2,500.0,375.0,2026-08-28T08:47:55.966Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,7.0,multi,human_bbox_annotation,1,ILSVRC2012_val_00012739.JPEG,"dug, pe rson",,2.0,bbox,,"[[79,101,376,307],[296,43,494,376]]",2,500.0,375.0,2026-08-28T08:48:10.254Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,8.0,multi,human_bbox_annotation,1,ILSVRC2012_val_00048612.JPEG,"my crow phone, pearson",,2.0,bbox,,"[[127,241,259,425],[159,0,517,441]]",2,500.0,424.0,2026-08-28T08:48:20.742Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,9.0,udacity,human_bbox_annotation,1,1479501447174309879.jpg,car,,1.0,bbox,,"[[1,104,360,254]]",1,480.0,300.0,2026-08-28T08:48:25.717Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,11.0,udacity,human_bbox_annotation,1,1478896670714322051.jpg,cer,,1.0,bbox,,"[[89,115,331,293]]",1,480.0,300.0,2026-08-28T08:48:44.335Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,12.0,udacity,human_bbox_annotation,1,1479500714623724165.jpg,car,,1.0,bbox,,[],2,480.0,300.0,2026-08-28T08:48:49.830Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,13.0,single/solo,human_bbox_annotation,1,ILSVRC2012_val_00047636.JPEG,flower pot,,1.0,bbox,,"[[11,13,367,486]]",1,380.0,500.0,2026-08-28T08:48:57.108Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,14.0,single/solo,human_bbox_annotation,1,ILSVRC2012_val_00030868.JPEG,dig,,1.0,bbox,,"[[141,12,348,357]]",1,500.0,375.0,2026-08-28T08:49:01.613Z,2026-08-28T08:55:57.885Z
annotator_0001,session_0001,15.0,single/solo,human_bbox_annotation,1,ILSVRC2012_val_00014439.JPEG,Ιizaⲅd,,1.0,bbox,,"[[154,89,460,333]]",1,500.0,375.0,2026-08-28T08:49:05.634Z,2026-08-28T08:55:57.885Z
